Epochs,model45,model35,model25
1,78.77372246856143,81.50133822781129,76.1497026968089
2,91.0086014392673,89.24128661772188,86.15221705313661
3,92.91265610234791,91.63400450679656,90.25947881078723
4,93.74848731554847,93.08636621356402,92.0115831940103
5,94.2361038017009,93.66887184705959,92.7089379952024
6,94.30846550846842,93.93694482808752,92.8614872428582
7,95.09309224394852,94.91171040197716,94.06149233117682
8,94.26470596787082,94.67920622228677,94.13372901068546
9,94.51169513702112,94.94807080031981,94.4900915897361
10,94.41030093770443,94.41010903540014,93.64711710401977
11,94.79576361125244,94.58504470451395,94.52705095587702
12,95.18788762084756,94.8242596496329,94.89026386566835
13,95.62396525405245,95.12223740641126,95.58130624409385
14,95.53624336701309,95.08663225994037,95.07877298829686
15,95.07148070073413,94.93434469724494,95.24554481354939
16,95.88621501780904,95.15137602675,95.04289888783889
17,94.48274042305734,95.10134695064328,95.12242131278617
18,95.48650723268156,95.00653994330156,94.94052409682341
19,94.81696663516755,95.63830558988144,95.202500545177
20,95.90018754088821,94.94844152068038,95.31096532674272
21,94.58455186450531,94.70047684814998,94.91938794795377
22,95.69667514719778,95.34769644544595,94.6210481936469
23,95.05715708366648,95.72626226648244,95.45020571345496
24,95.11478447335895,95.76267282110923,95.0132681543941
25,95.4424147706622,95.36980882459825,95.21031038743904
26,95.73986188849311,95.58082358072251,95.46395507741508
27,94.85364905139197,95.5008788253252,95.56569237479101
28,95.54428654503158,95.68239805190078,95.88618012648104
29,95.11513265973686,95.17342153085701,95.55890383077698
30,95.44247873809697,94.82452787671726,95.26061568655958
31,95.32610598240895,95.67481354946564,95.6090797412226
32,95.47899905502652,95.43519008504758,95.04168859489705
33,95.819995638584,95.44997310460123,94.46123500763247
34,95.19418695936608,95.84197354074288,95.2312829832085
35,95.1589154612197,95.58025078142033,95.40519953478223
36,94.8535254779385,95.87797557607033,95.4277836737661
37,95.65369557316271,95.74786726757283,94.70784546049278
38,95.5221487242858,95.04337355528094,95.76176710038523
39,95.82807516173585,95.9222657556153,95.44190884640547
40,95.36233190375808,94.43203605437229,95.45682561604995
41,95.4790928254707,95.51527367885437,95.29706331322231
42,95.46424365777425,95.624097550338,95.50038307770583
43,95.60972523079157,95.09329359598738,96.00191611543212
44,95.01397397688443,95.05691865959147,95.47842044050297
45,94.62729737588135,95.28969252017147,95.65280802500541
46,95.48523878752636,94.44717307552511,95.45718325216252
47,95.24606018754085,95.47208693755906,95.42802500545173
48,95.36160572799302,95.07943592352976,95.61685323835137
49,95.16651668241623,95.70350076324776,95.2751493784982
50,95.94410627317005,95.37036563204184,95.51526713673036
51,95.12229119720867,95.27557897797485,95.60904121538127
52,95.32612560878093,95.36973540742892,94.67865595696732
53,95.65347314094636,95.03531002398773,95.2172857454387
54,95.29702914879698,94.92636694046664,95.76170822126915
55,95.15202297012421,95.63876353856213,95.90082721523578
56,95.50736352402409,95.89315330377262,95.60938867485642
57,95.39101911754008,95.24667805480843,95.36219379225122
58,95.76207530711635,95.18736061641344,94.94796830704365
59,95.62389765210432,95.26040706549394,95.45031547575779
60,95.9152889438104,95.34067093116232,95.69730391800539
61,95.31947008795515,95.07129897506721,95.58078214727045
62,96.08998255433593,96.01624918223442,95.55861597732064
63,96.365458312132,95.63887984298898,95.6094330159192
64,96.07565966417094,95.56587482736056,95.63145089772475
65,95.62417024060477,95.63872501272078,95.45735334738677
66,95.54393254343239,95.6094933488406,95.66101402922142
67,95.89307770589517,94.96313949262189,95.52986479610374
68,95.66052191611539,95.19524242203966,95.57307479828448
69,95.4062906156865,95.74024860071229,95.60216326233912
70,95.25992367521988,95.66783673766078,95.75493784982184
71,95.22436650432502,95.26762666278982,95.70420513193281
72,95.26064330886088,95.29665915533906,95.50070291487962
73,95.78303045722176,95.69625063603979,95.7624743766809
74,95.6310133023188,95.69649923675216,95.79132078214721
75,95.92975503380093,95.53687504543137,95.65326379297807
76,95.55841244457362,95.68159482445293,95.33352184342513
77,95.9510670931162,95.66796176491962,95.18835719997091
78,96.04568074434827,95.5661750381623,95.67498945991126
79,95.74031911027106,95.97294177509626,95.40664461728565
80,94.80959511521402,95.66784109907678,95.31864578032997
81,95.59465290397615,96.05986116159039,95.33304717598308
82,95.80556952824016,95.6094671803445,95.4788253252889
83,95.52238278694476,94.919337064767,95.92900414334514
84,95.55862106563929,95.47726175765058,95.92945918441518
85,96.10391146325505,95.80656611179762,95.22358217634658
86,95.4564490804681,95.52921785272946,95.28312422766587
87,95.42016209929488,95.95149015046883,95.58048557098203
88,95.94359380678922,95.46457439848798,94.79616922294105
89,95.91455913353202,94.50457730609865,95.12240750163551
90,95.58780620774876,95.53670349640177,95.15202878534559
91,95.82784618739544,95.74072981027834,95.36932325361634
92,95.84212691720573,95.8415039616195,95.69006687504545
93,95.97222577596854,95.55114996002035,93.93855637130186
94,95.75491822344986,95.77672530348178,95.79088536744928
95,95.96506723849677,95.900034891328,95.28194519153875
96,95.92239805190084,95.96679217852727,95.53703423711558
97,96.46752635022168,96.07475975866835,96.1400247146907
98,95.72557316275349,95.68948680671657,95.3696125608781
99,95.7837079305081,95.44949262193785,95.66725812313727
100,95.16608272152357,96.0458537471832,96.01614668895833
