class,Original_model_42,night1_model_42,night2_model_42,night3_model_42,night4_model_42,night5_model_42,night6_model_42,night7_model_42,night8_model_42,night9_model_42,night10_model_42,images
0,98.37,98.37,99.19,97.56,97.56,97.56,98.37,97.56,98.37,97.56,95.93,123
1,90.91,90.91,90.91,90.91,90.91,90.91,90.91,93.18,93.18,90.91,86.36,44
2,81.48,75.93,70.37,72.22,75.93,75.93,75.93,72.22,75.93,70.37,59.26,54
3,66.67,61.9,66.67,66.67,66.67,76.19,71.43,66.67,61.9,66.67,66.67,21
4,66.67,55.56,55.56,66.67,66.67,55.56,66.67,66.67,55.56,44.44,66.67,9
5,57.14,71.43,71.43,71.43,71.43,85.71,85.71,85.71,57.14,57.14,57.14,7
6,93.33,91.67,91.67,91.67,91.67,91.67,91.67,88.33,95.0,93.33,88.33,60
7,82.5,80.0,80.0,72.5,77.5,77.5,82.5,72.5,70.0,65.0,60.0,40
8,66.67,66.67,66.67,66.67,66.67,33.33,33.33,33.33,33.33,33.33,33.33,3
9,33.33,66.67,66.67,66.67,66.67,66.67,66.67,33.33,33.33,33.33,66.67,3
10,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,100.0,92.31,13
11,86.67,86.67,86.67,86.67,88.89,86.67,88.89,86.67,82.22,86.67,77.78,45
12,91.84,91.84,91.84,91.84,91.84,91.84,91.84,92.86,92.86,91.84,88.78,98
13,75.0,75.0,75.0,75.0,75.0,75.0,25.0,25.0,50.0,25.0,25.0,4
14,66.67,33.33,33.33,66.67,33.33,33.33,33.33,33.33,33.33,0.0,33.33,3
15,93.04,93.67,91.77,91.77,91.14,91.77,91.14,91.14,91.14,91.77,87.34,158
16,93.04,93.77,93.41,94.14,94.51,94.14,94.51,93.77,94.14,93.04,92.31,273
17,82.69,80.77,84.62,84.62,84.62,82.69,84.62,82.69,78.85,80.77,71.15,52
18,100.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,60.0,60.0,5
19,91.51,91.51,89.62,90.57,91.51,92.45,89.62,92.45,91.51,88.68,91.51,106
20,97.84,97.84,97.4,97.84,97.4,97.4,97.4,97.4,97.84,97.4,95.24,231
21,94.62,92.47,92.47,92.47,93.55,88.17,87.1,87.1,86.02,83.87,81.72,93
22,83.08,83.08,83.08,81.54,83.08,81.54,81.54,80.0,81.54,81.54,81.54,65
23,96.62,96.92,96.31,96.92,97.23,96.92,96.62,95.69,95.08,95.08,95.08,325
24,50.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,50.0,55.0,20
25,76.19,76.19,76.19,90.48,90.48,90.48,76.19,76.19,76.19,76.19,71.43,21
26,95.45,95.45,90.91,90.91,95.45,95.45,95.45,95.45,95.45,95.45,95.45,22
27,5.88,5.88,11.76,11.76,11.76,11.76,11.76,0.0,5.88,5.88,5.88,17
28,97.27,96.09,96.09,96.48,96.48,95.7,95.7,95.31,96.09,92.97,94.53,256
29,70.18,73.68,68.42,70.18,68.42,68.42,66.67,68.42,64.91,68.42,63.16,57
30,97.68,97.91,97.45,97.22,97.22,97.68,97.68,97.22,97.45,97.45,97.45,431
31,87.78,89.44,88.89,89.44,88.89,89.44,90.0,88.89,87.78,86.67,82.78,180
32,96.35,96.63,96.35,96.35,96.63,97.19,96.63,96.91,97.19,96.35,94.66,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,18
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21
35,91.43,91.43,91.43,91.43,91.43,91.43,88.57,91.43,91.43,85.71,77.14,35
36,97.4,99.35,100.0,100.0,99.35,99.35,98.7,97.4,96.75,93.51,83.77,154
37,96.4,96.4,96.4,96.4,96.4,96.4,96.4,96.4,96.4,94.96,94.24,139
38,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.78,66.67,9
39,78.79,84.85,81.82,84.85,84.85,84.85,84.85,84.85,84.85,81.82,75.76,33
40,80.85,80.85,78.72,78.72,78.72,76.6,76.6,76.6,76.6,72.34,72.34,47
41,91.75,90.72,91.75,91.75,91.75,92.78,92.78,91.75,91.75,91.75,94.85,97
42,91.03,91.03,91.03,92.31,92.31,91.03,89.74,89.74,91.03,91.03,92.31,78
43,100.0,96.3,96.3,96.3,96.3,96.3,92.59,98.15,88.89,90.74,83.33,54
44,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,85.71,100.0,100.0,7
45,99.62,99.25,99.25,99.25,98.87,98.11,98.87,98.87,98.49,98.11,97.36,265
46,96.86,97.25,96.86,96.86,96.86,96.86,97.65,97.25,96.08,93.73,92.94,255
47,77.78,81.48,77.78,77.78,77.78,81.48,81.48,85.19,85.19,74.07,81.48,27
48,93.21,92.28,92.9,92.9,92.9,92.9,93.21,93.83,92.9,93.21,91.36,324
49,91.07,94.64,94.64,94.64,94.64,94.64,94.64,94.64,92.86,94.64,96.43,56
50,92.27,93.96,93.96,94.2,93.72,94.44,95.17,95.17,95.17,95.41,94.69,414
51,93.0,94.65,94.65,93.83,94.65,93.83,94.65,95.06,94.65,93.0,91.36,243
52,96.69,96.28,96.69,96.28,96.49,96.28,97.11,96.69,96.49,94.83,94.01,484
53,88.66,87.39,86.13,85.71,86.13,85.29,84.45,83.61,84.03,85.29,79.83,238
54,62.5,62.5,62.5,62.5,62.5,62.5,62.5,68.75,62.5,68.75,43.75,16
55,95.67,96.54,96.54,96.97,96.54,97.4,97.4,95.24,96.1,93.94,94.37,231
56,70.83,62.5,66.67,66.67,66.67,70.83,62.5,62.5,58.33,62.5,62.5,24
57,93.88,94.9,95.41,95.41,95.92,95.92,95.92,94.9,94.9,94.39,93.88,196
58,83.33,66.67,66.67,66.67,66.67,66.67,66.67,50.0,58.33,83.33,66.67,12
59,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,27
60,88.89,84.13,85.71,87.3,88.89,84.13,88.89,87.3,85.71,87.3,87.3,63
61,91.07,91.07,87.5,91.07,91.07,91.07,91.07,91.07,91.07,92.86,91.07,56
62,84.85,78.79,84.85,90.91,90.91,87.88,90.91,93.94,87.88,90.91,90.91,33
63,96.89,94.22,94.67,94.22,92.89,91.56,88.89,85.33,83.11,76.89,74.22,225
64,72.73,36.36,45.45,45.45,36.36,36.36,27.27,27.27,36.36,36.36,18.18,11
65,66.67,55.56,55.56,55.56,55.56,55.56,55.56,66.67,66.67,66.67,44.44,9
66,81.54,80.0,80.0,82.31,80.0,80.0,79.23,76.15,74.62,76.92,73.85,130
67,100.0,100.0,100.0,99.44,99.44,100.0,99.44,99.44,98.33,97.22,95.0,180
68,88.89,88.89,88.89,88.89,88.89,88.89,86.11,86.11,86.11,83.33,83.33,36
69,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,11
70,98.28,98.28,98.28,98.28,98.28,100.0,98.28,100.0,100.0,98.28,98.28,58
71,100.0,95.83,95.83,95.83,95.83,95.83,100.0,100.0,100.0,100.0,100.0,24
72,96.51,96.51,96.51,96.51,96.51,97.67,97.67,97.67,96.51,94.19,90.7,86
73,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,49
74,96.6,95.63,95.63,95.63,96.12,94.66,93.69,94.17,92.23,90.29,90.29,206
75,92.16,96.08,94.12,94.12,90.2,90.2,90.2,88.24,86.27,86.27,80.39,51
76,77.78,77.78,83.33,77.78,77.78,83.33,77.78,83.33,77.78,77.78,72.22,18
77,88.41,86.96,86.96,86.96,86.23,87.68,85.51,86.23,86.23,85.51,84.78,138
78,97.97,97.46,97.46,96.95,97.46,96.95,96.45,96.95,96.45,96.45,95.43,197
79,94.17,95.15,96.12,95.15,96.12,96.12,96.12,96.12,94.17,95.15,96.12,103
80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3
81,86.11,86.11,86.11,86.11,86.11,86.11,86.11,86.11,86.11,83.33,86.11,36
82,71.43,71.43,71.43,57.14,57.14,57.14,57.14,57.14,42.86,42.86,57.14,7
83,96.15,96.15,96.15,96.15,96.15,96.15,96.15,96.15,96.15,94.87,94.87,78
84,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
85,33.33,44.44,44.44,44.44,44.44,44.44,44.44,55.56,55.56,44.44,55.56,9
86,96.07,94.38,93.26,94.38,93.26,93.26,89.89,84.83,79.21,71.91,64.61,178
87,94.3,94.94,93.67,93.67,90.51,86.08,79.11,71.52,68.99,62.03,52.53,158
88,89.29,89.29,92.86,92.86,89.29,92.86,92.86,92.86,92.86,92.86,92.86,28
89,37.5,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,12.5,25.0,8
90,97.25,97.41,97.25,97.25,97.73,97.57,97.25,96.93,96.93,96.44,96.28,618
91,91.53,91.53,91.53,91.53,89.83,86.44,91.53,89.83,89.83,84.75,84.75,59
92,8.33,8.33,8.33,8.33,8.33,8.33,16.67,8.33,8.33,0.0,8.33,12
93,67.24,55.17,58.62,56.9,50.0,44.83,39.66,39.66,41.38,37.93,44.83,58
94,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,0.0,33.33,33.33,3
95,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,0.0,33.33,3
96,57.14,57.14,57.14,57.14,71.43,71.43,71.43,71.43,71.43,71.43,71.43,7
97,87.3,87.3,88.89,90.48,88.89,87.3,87.3,85.71,84.13,82.54,79.37,63
98,100.0,66.67,66.67,66.67,66.67,100.0,100.0,66.67,66.67,66.67,66.67,3
99,84.21,84.21,84.21,84.21,84.21,84.21,84.21,84.21,84.21,84.21,84.21,19
100,33.33,33.33,33.33,33.33,50.0,33.33,33.33,33.33,33.33,33.33,33.33,6
101,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,20.0,5
102,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,25
