filter,ideallevel_52,ideallevel_49,ideallevel_42,noiselevel_52,noiselevel_49,noiselevel_42
Original,93.67651488795661,94.16706743067638,94.92559296019645,92.91945871278011,92.91912514069372,92.94980967972987
fogmild,79.59621201268804,80.31319246904738,80.38511102015758,89.90089737030594,90.49384733449297,91.01731095876393
fogmedium,67.46210273201677,68.54612503837103,68.99529213138239,85.7973293768546,86.67760769466898,87.44485930625191
fogheavy,10.048667758109076,9.413960912718714,9.71090862580579,33.67441317916709,42.832421978921516,41.10243118796685
rainmild,93.50308196050342,93.91105187762203,94.71044101094853,92.75583546505679,92.704258671851,92.91970326409496
rainmedium,92.74580374501176,93.12391077458305,93.79968075309526,92.49025069067841,92.29490739793307,92.5923728640131
rainheavy,90.30994986186431,90.95528803847331,91.50666530236364,91.12852859920187,91.14969405504964,91.05619564105189
snowmild,85.50064667962755,85.05026603908726,85.73595108973701,88.36530441010947,87.20956512841504,87.7412186636652
snowmedium,81.34721784508339,80.65075821139875,81.12055049626522,86.04292438350556,84.19066612094548,85.26583341860227
snowheavy,74.81865854906374,74.09249565128415,74.01056175176507,82.04273610968995,80.65104778471299,81.37700501381356
nightmild,92.78627852245984,93.32910876905763,93.7067829734984,92.86857669088303,93.02104880794023,92.88773662130359
nightmedium,91.70163921006856,92.24459633684641,92.55080118694362,92.32639414714009,92.52112043384835,92.31587741737437
nightheavy,89.95274122582624,90.27838125447661,90.60692213240561,90.91429039189605,90.55479484293463,90.82132917220915
